x y
1.50705e+11 -3.22506e+08
1.50706e+11 -5.24327e+07
1.50706e+11 2.17644e+08
1.50705e+11 4.87722e+08
1.50704e+11 7.57801e+08
1.50703e+11 1.02788e+09
1.50701e+11 1.29796e+09
1.50698e+11 1.56804e+09
1.50696e+11 1.83811e+09
1.50692e+11 2.10818e+09
1.50688e+11 2.37825e+09
1.50684e+11 2.64831e+09
1.50679e+11 2.91837e+09
1.50674e+11 3.18842e+09
1.50668e+11 3.45846e+09
1.50662e+11 3.72849e+09
1.50655e+11 3.99852e+09
1.50648e+11 4.26854e+09
1.5064e+11 4.53854e+09
1.50632e+11 4.80853e+09
1.50624e+11 5.07851e+09
1.50615e+11 5.34848e+09
1.50605e+11 5.61843e+09
1.50595e+11 5.88837e+09
1.50584e+11 6.15829e+09
1.50573e+11 6.4282e+09
1.50562e+11 6.69808e+09
1.5055e+11 6.96795e+09
1.50538e+11 7.2378e+09
1.50525e+11 7.50763e+09
1.50511e+11 7.77744e+09
1.50498e+11 8.04723e+09
1.50483e+11 8.31699e+09
1.50468e+11 8.58673e+09
1.50453e+11 8.85644e+09
1.50437e+11 9.12613e+09
1.50421e+11 9.3958e+09
1.50404e+11 9.66543e+09
1.50387e+11 9.93504e+09
1.5037e+11 1.02046e+10
1.50352e+11 1.04742e+10
1.50333e+11 1.07437e+10
1.50314e+11 1.10132e+10
1.50294e+11 1.12826e+10
1.50274e+11 1.15521e+10
1.50254e+11 1.18214e+10
1.50233e+11 1.20908e+10
1.50211e+11 1.23601e+10
1.50189e+11 1.26294e+10
1.50167e+11 1.28986e+10
1.50144e+11 1.31678e+10
1.50121e+11 1.3437e+10
1.50097e+11 1.37061e+10
1.50073e+11 1.39752e+10
1.50048e+11 1.42442e+10
1.50022e+11 1.45132e+10
1.49997e+11 1.47822e+10
1.49971e+11 1.50511e+10
1.49944e+11 1.53199e+10
1.49917e+11 1.55888e+10
1.49889e+11 1.58575e+10
1.49861e+11 1.61262e+10
1.49832e+11 1.63949e+10
1.49803e+11 1.66635e+10
1.49774e+11 1.69321e+10
1.49744e+11 1.72006e+10
1.49713e+11 1.74691e+10
1.49682e+11 1.77375e+10
1.49651e+11 1.80058e+10
1.49619e+11 1.82741e+10
1.49586e+11 1.85423e+10
1.49554e+11 1.88105e+10
1.4952e+11 1.90786e+10
1.49486e+11 1.93467e+10
1.49452e+11 1.96147e+10
1.49417e+11 1.98826e+10
1.49382e+11 2.01505e+10
1.49346e+11 2.04183e+10
1.4931e+11 2.06861e+10
1.49273e+11 2.09537e+10
1.49236e+11 2.12214e+10
1.49199e+11 2.14889e+10
1.49161e+11 2.17564e+10
1.49122e+11 2.20238e+10
1.49083e+11 2.22911e+10
1.49043e+11 2.25584e+10
1.49003e+11 2.28256e+10
1.48963e+11 2.30927e+10
1.48922e+11 2.33598e+10
1.48881e+11 2.36268e+10
1.48839e+11 2.38937e+10
1.48796e+11 2.41605e+10
1.48754e+11 2.44272e+10
1.4871e+11 2.46939e+10
1.48667e+11 2.49605e+10
1.48622e+11 2.5227e+10
1.48578e+11 2.54934e+10
1.48532e+11 2.57598e+10
1.48487e+11 2.6026e+10
