x y
1.50706e+11 -9.26622e+07
1.50698e+11 1.76985e+08
1.50689e+11 4.46414e+08
1.5068e+11 7.15624e+08
1.5067e+11 9.84614e+08
1.5066e+11 1.25338e+09
1.50649e+11 1.52193e+09
1.50638e+11 1.79026e+09
1.50627e+11 2.05836e+09
1.50615e+11 2.32624e+09
1.50602e+11 2.5939e+09
1.50589e+11 2.86133e+09
1.50576e+11 3.12854e+09
1.50563e+11 3.39553e+09
1.50548e+11 3.6623e+09
1.50534e+11 3.92884e+09
1.50519e+11 4.19516e+09
1.50504e+11 4.46126e+09
1.50488e+11 4.72713e+09
1.50472e+11 4.99279e+09
1.50456e+11 5.25823e+09
1.50439e+11 5.52345e+09
1.50422e+11 5.78846e+09
1.50405e+11 6.05324e+09
1.50387e+11 6.31782e+09
1.50369e+11 6.58218e+09
1.5035e+11 6.84634e+09
1.50331e+11 7.11028e+09
1.50312e+11 7.37402e+09
1.50292e+11 7.63756e+09
1.50272e+11 7.9009e+09
1.50252e+11 8.16403e+09
1.50232e+11 8.42697e+09
1.50211e+11 8.68972e+09
1.5019e+11 8.95228e+09
1.50168e+11 9.21465e+09
1.50147e+11 9.47683e+09
1.50125e+11 9.73884e+09
1.50102e+11 1.00007e+10
1.5008e+11 1.02623e+10
1.50057e+11 1.05238e+10
1.50034e+11 1.07851e+10
1.5001e+11 1.10463e+10
1.49986e+11 1.13073e+10
1.49962e+11 1.15681e+10
1.49938e+11 1.18288e+10
1.49914e+11 1.20894e+10
1.49889e+11 1.23498e+10
1.49864e+11 1.26101e+10
1.49839e+11 1.28702e+10
1.49813e+11 1.31302e+10
1.49787e+11 1.33901e+10
1.49761e+11 1.36499e+10
1.49735e+11 1.39096e+10
1.49709e+11 1.41692e+10
1.49682e+11 1.44287e+10
1.49655e+11 1.4688e+10
1.49628e+11 1.49473e+10
1.496e+11 1.52066e+10
1.49573e+11 1.54657e+10
1.49545e+11 1.57248e+10
1.49517e+11 1.59838e+10
1.49489e+11 1.62427e+10
1.4946e+11 1.65016e+10
1.49431e+11 1.67604e+10
1.49402e+11 1.70192e+10
1.49373e+11 1.7278e+10
1.49344e+11 1.75368e+10
1.49314e+11 1.77955e+10
1.49284e+11 1.80542e+10
1.49254e+11 1.83129e+10
1.49224e+11 1.85715e+10
1.49193e+11 1.88302e+10
1.49162e+11 1.90889e+10
1.49131e+11 1.93476e+10
1.491e+11 1.96063e+10
1.49068e+11 1.98651e+10
1.49036e+11 2.01239e+10
1.49004e+11 2.03827e+10
1.48972e+11 2.06415e+10
1.4894e+11 2.09004e+10
1.48907e+11 2.11594e+10
1.48874e+11 2.14184e+10
1.48841e+11 2.16774e+10
1.48807e+11 2.19366e+10
1.48773e+11 2.21958e+10
1.48739e+11 2.2455e+10
1.48705e+11 2.27144e+10
1.4867e+11 2.29738e+10
1.48636e+11 2.32334e+10
1.486e+11 2.3493e+10
1.48565e+11 2.37527e+10
1.48529e+11 2.40125e+10
1.48493e+11 2.42724e+10
1.48457e+11 2.45325e+10
1.4842e+11 2.47926e+10
1.48383e+11 2.50529e+10
1.48346e+11 2.53132e+10
1.48308e+11 2.55737e+10
1.4827e+11 2.58343e+10
1.48232e+11 2.60951e+10
1.48193e+11 2.6356e+10
1.48154e+11 2.6617e+10
1.48115e+11 2.68781e+10
1.48075e+11 2.71393e+10
1.48035e+11 2.74007e+10
1.47995e+11 2.76623e+10
1.47954e+11 2.7924e+10
1.47913e+11 2.81858e+10
1.47871e+11 2.84477e+10
1.47829e+11 2.87098e+10
1.47787e+11 2.89721e+10
1.47744e+11 2.92344e+10
1.47701e+11 2.94969e+10
1.47657e+11 2.97596e+10
1.47613e+11 3.00224e+10
1.47568e+11 3.02854e+10
1.47524e+11 3.05484e+10
1.47478e+11 3.08117e+10
1.47432e+11 3.1075e+10
1.47386e+11 3.13385e+10
1.47339e+11 3.16022e+10
1.47292e+11 3.1866e+10
1.47245e+11 3.21299e+10
1.47196e+11 3.23939e+10
1.47148e+11 3.26581e+10
1.47099e+11 3.29224e+10
1.47049e+11 3.31868e+10
1.46999e+11 3.34514e+10
1.46948e+11 3.37161e+10
1.46897e+11 3.39809e+10
1.46846e+11 3.42458e+10
1.46793e+11 3.45108e+10
1.46741e+11 3.4776e+10
1.46688e+11 3.50413e+10
1.46634e+11 3.53066e+10
1.4658e+11 3.55721e+10
1.46525e+11 3.58377e+10
1.46469e+11 3.61033e+10
1.46413e+11 3.63691e+10
1.46357e+11 3.6635e+10
1.463e+11 3.69009e+10
1.46242e+11 3.71669e+10
1.46184e+11 3.7433e+10
1.46125e+11 3.76992e+10
1.46066e+11 3.79655e+10
1.46006e+11 3.82318e+10
1.45945e+11 3.84982e+10
1.45884e+11 3.87646e+10
1.45822e+11 3.90311e+10
1.4576e+11 3.92976e+10
1.45697e+11 3.95642e+10
1.45634e+11 3.98308e+10
1.45569e+11 4.00975e+10
1.45505e+11 4.03642e+10
1.45439e+11 4.06309e+10
1.45373e+11 4.08976e+10
1.45307e+11 4.11644e+10
1.45239e+11 4.14311e+10
1.45171e+11 4.16979e+10
1.45103e+11 4.19647e+10
1.45034e+11 4.22314e+10
1.44964e+11 4.24982e+10
1.44893e+11 4.27649e+10
1.44822e+11 4.30316e+10
1.44751e+11 4.32983e+10
1.44678e+11 4.35649e+10
1.44605e+11 4.38316e+10
1.44531e+11 4.40981e+10
1.44457e+11 4.43646e+10
1.44382e+11 4.46311e+10
1.44307e+11 4.48975e+10
1.4423e+11 4.51639e+10
1.44153e+11 4.54301e+10
1.44076e+11 4.56963e+10
1.43997e+11 4.59624e+10
1.43919e+11 4.62284e+10
1.43839e+11 4.64944e+10
1.43759e+11 4.67602e+10
1.43678e+11 4.70259e+10
1.43596e+11 4.72915e+10
1.43514e+11 4.7557e+10
1.43431e+11 4.78223e+10
1.43348e+11 4.80876e+10
1.43263e+11 4.83527e+10
1.43178e+11 4.86176e+10
1.43093e+11 4.88824e+10
1.43007e+11 4.91471e+10
1.4292e+11 4.94116e+10
1.42832e+11 4.96759e+10
1.42744e+11 4.99401e+10
1.42655e+11 5.02041e+10
1.42566e+11 5.04679e+10
1.42476e+11 5.07315e+10
1.42385e+11 5.09949e+10
1.42293e+11 5.12581e+10
1.42201e+11 5.15212e+10
1.42109e+11 5.1784e+10
1.42015e+11 5.20466e+10
1.41921e+11 5.2309e+10
1.41826e+11 5.25711e+10
1.41731e+11 5.2833e+10
1.41635e+11 5.30947e+10
1.41538e+11 5.33561e+10
1.41441e+11 5.36173e+10
1.41343e+11 5.38783e+10
1.41245e+11 5.41389e+10
1.41145e+11 5.43994e+10
1.41046e+11 5.46595e+10
1.40945e+11 5.49194e+10
1.40844e+11 5.5179e+10
1.40743e+11 5.54383e+10
1.4064e+11 5.56973e+10
1.40537e+11 5.5956e+10
1.40434e+11 5.62145e+10
1.4033e+11 5.64726e+10
1.40225e+11 5.67304e+10
1.4012e+11 5.69879e+10
1.40014e+11 5.72451e+10
1.39907e+11 5.7502e+10
1.398e+11 5.77585e+10
1.39693e+11 5.80148e+10
1.39584e+11 5.82706e+10
1.39476e+11 5.85262e+10
1.39366e+11 5.87814e+10
1.39256e+11 5.90362e+10
1.39146e+11 5.92908e+10
1.39034e+11 5.95449e+10
1.38923e+11 5.97987e+10
1.38811e+11 6.00522e+10
1.38698e+11 6.03052e+10
1.38585e+11 6.05579e+10
1.38471e+11 6.08103e+10
1.38356e+11 6.10623e+10
1.38241e+11 6.13138e+10
1.38126e+11 6.1565e+10
1.3801e+11 6.18159e+10
1.37893e+11 6.20663e+10
1.37776e+11 6.23164e+10
1.37659e+11 6.2566e+10
1.37541e+11 6.28153e+10
1.37422e+11 6.30641e+10
1.37303e+11 6.33126e+10
1.37184e+11 6.35607e+10
1.37064e+11 6.38083e+10
1.36944e+11 6.40556e+10
1.36823e+11 6.43024e+10
1.36701e+11 6.45489e+10
1.36579e+11 6.47949e+10
1.36457e+11 6.50405e+10
1.36334e+11 6.52857e+10
1.36211e+11 6.55305e+10
1.36087e+11 6.57748e+10
1.35963e+11 6.60188e+10
1.35839e+11 6.62623e+10
1.35714e+11 6.65054e+10
1.35588e+11 6.67481e+10
1.35463e+11 6.69903e+10
1.35337e+11 6.72321e+10
1.3521e+11 6.74735e+10
1.35083e+11 6.77145e+10
1.34956e+11 6.7955e+10
1.34828e+11 6.81952e+10
1.347e+11 6.84348e+10
1.34571e+11 6.86741e+10
1.34442e+11 6.89129e+10
1.34313e+11 6.91514e+10
1.34183e+11 6.93893e+10
1.34053e+11 6.96269e+10
1.33923e+11 6.9864e+10
1.33792e+11 7.01007e+10
1.33661e+11 7.0337e+10
1.3353e+11 7.05728e+10
1.33398e+11 7.08083e+10
1.33266e+11 7.10433e+10
1.33134e+11 7.12779e+10
1.33001e+11 7.1512e+10
1.32868e+11 7.17458e+10
1.32735e+11 7.19791e+10
1.32601e+11 7.2212e+10
1.32467e+11 7.24445e+10
1.32333e+11 7.26766e+10
1.32199e+11 7.29083e+10
1.32064e+11 7.31395e+10
