Поток 9 | Угол: 12.00° | Минимальное топливо: 274.00
Поток 4 | Угол: 21.00° | Минимальное топливо: 274.00
Поток 8 | Угол: 6.00° | Минимальное топливо: 274.00
Поток 5 | Угол: 15.00° | Минимальное топливо: 274.00
Поток 2 | Угол: 9.00° | Минимальное топливо: 274.00
Поток 7 | Угол: 18.00° | Минимальное топливо: 274.00
Поток 1 | Угол: 24.00° | Минимальное топливо: 275.80
Поток 0 | Угол: 33.00° | Минимальное топливо: 275.80
Поток 6 | Угол: 0.00° | Минимальное топливо: 276.20
Поток 3 | Угол: 27.00° | Минимальное топливо: 276.20
Поток 11 | Угол: 3.00° | Минимальное топливо: 277.00
Поток 10 | Угол: 30.00° | Минимальное топливо: 277.60
Поток 4 | Угол: 39.00° | Минимальное топливо: 274.80
Поток 5 | Угол: 45.00° | Минимальное топливо: 274.80
Поток 8 | Угол: 42.00° | Минимальное топливо: 274.80
Поток 7 | Угол: 51.00° | Минимальное топливо: 274.80
Поток 2 | Угол: 48.00° | Минимальное топливо: 274.80
Поток 11 | Угол: 66.00° | Минимальное топливо: 272.60
Поток 0 | Угол: 57.00° | Минимальное топливо: 275.00
Поток 6 | Угол: 60.00° | Минимальное топливо: 275.00
Поток 3 | Угол: 63.00° | Минимальное топливо: 275.00
Поток 1 | Угол: 54.00° | Минимальное топливо: 275.40
Поток 9 | Угол: 36.00° | Минимальное топливо: 277.80
Поток 4 | Угол: 72.00° | Минимальное топливо: 275.20
Поток 5 | Угол: 75.00° | Минимальное топливо: 275.20
Поток 11 | Угол: 87.00° | Минимальное топливо: 275.40
Поток 8 | Угол: 78.00° | Минимальное топливо: 276.40
Поток 7 | Угол: 81.00° | Минимальное топливо: 276.60
Поток 10 | Угол: 69.00° | Минимальное топливо: 279.80
Поток 0 | Угол: 90.00° | Минимальное топливо: 275.40
Поток 3 | Угол: 96.00° | Минимальное топливо: 275.40
Поток 9 | Угол: 102.00° | Минимальное топливо: 277.00
Поток 7 | Угол: 117.00° | Минимальное топливо: 272.60
Поток 11 | Угол: 111.00° | Минимальное топливо: 273.20
Поток 8 | Угол: 114.00° | Минимальное топливо: 273.00
Поток 0 | Угол: 123.00° | Минимальное топливо: 273.00
Поток 4 | Угол: 105.00° | Минимальное топливо: 275.40
Поток 2 | Угол: 84.00° | Минимальное топливо: 282.00
Поток 5 | Угол: 108.00° | Минимальное топливо: 276.00
Поток 10 | Угол: 120.00° | Минимальное топливо: 276.00
Поток 3 | Угол: 126.00° | Минимальное топливо: 275.80
Поток 11 | Угол: 135.00° | Минимальное топливо: 274.00
Поток 8 | Угол: 138.00° | Минимальное топливо: 274.00
Поток 0 | Угол: 141.00° | Минимальное топливо: 273.40
