Поток 5 | Угол: 64.00° | Минимальное топливо: 273.60
Поток 2 | Угол: 66.00° | Минимальное топливо: 272.60
Поток 6 | Угол: 66.50° | Минимальное топливо: 272.70
Поток 4 | Угол: 65.00° | Минимальное топливо: 272.90
Поток 0 | Угол: 63.00° | Минимальное топливо: 274.90
Поток 11 | Угол: 63.50° | Минимальное топливо: 275.00
Поток 8 | Угол: 67.00° | Минимальное топливо: 275.10
Поток 7 | Угол: 68.00° | Минимальное топливо: 275.10
Поток 1 | Угол: 65.50° | Минимальное топливо: 272.90
Поток 9 | Угол: 64.50° | Минимальное топливо: 273.40
Поток 3 | Угол: 67.50° | Минимальное топливо: 275.10
Поток 10 | Угол: 68.50° | Минимальное топливо: 275.10
Поток 5 | Угол: 69.00° | Минимальное топливо: 275.10
