x y
2.28832e+11 2.82515e+07
2.28827e+11 2.45278e+08
2.28822e+11 4.62262e+08
2.28817e+11 6.79198e+08
2.28811e+11 8.96078e+08
2.28805e+11 1.11289e+09
2.28798e+11 1.32963e+09
2.2879e+11 1.54628e+09
2.28783e+11 1.76282e+09
2.28774e+11 1.97923e+09
2.28765e+11 2.19548e+09
2.28756e+11 2.41153e+09
2.28745e+11 2.62731e+09
2.28734e+11 2.84273e+09
2.28722e+11 3.05766e+09
2.28708e+11 3.27182e+09
2.28693e+11 3.48467e+09
2.28676e+11 3.69471e+09
2.28658e+11 3.89569e+09
2.28659e+11 4.08963e+09
2.28667e+11 4.29442e+09
2.28674e+11 4.50342e+09
2.28679e+11 4.71438e+09
2.28684e+11 4.92648e+09
2.28687e+11 5.13934e+09
2.2869e+11 5.35277e+09
2.28692e+11 5.56661e+09
2.28693e+11 5.7808e+09
2.28694e+11 5.99525e+09
2.28695e+11 6.20994e+09
2.28694e+11 6.42482e+09
2.28694e+11 6.63986e+09
2.28693e+11 6.85506e+09
2.28691e+11 7.07037e+09
2.28689e+11 7.2858e+09
2.28687e+11 7.50133e+09
2.28684e+11 7.71696e+09
2.28681e+11 7.93266e+09
2.28678e+11 8.14844e+09
2.28674e+11 8.36428e+09
2.2867e+11 8.58019e+09
2.28665e+11 8.79615e+09
2.28661e+11 9.01216e+09
2.28655e+11 9.22823e+09
2.2865e+11 9.44433e+09
2.28644e+11 9.66048e+09
2.28638e+11 9.87666e+09
2.28631e+11 1.00929e+10
2.28624e+11 1.03091e+10
2.28617e+11 1.05254e+10
2.2861e+11 1.07417e+10
2.28602e+11 1.0958e+10
2.28594e+11 1.11744e+10
2.28586e+11 1.13908e+10
2.28577e+11 1.16072e+10
2.28568e+11 1.18236e+10
2.28559e+11 1.204e+10
2.28549e+11 1.22565e+10
2.28539e+11 1.24729e+10
2.28529e+11 1.26894e+10
2.28519e+11 1.29059e+10
2.28508e+11 1.31224e+10
2.28497e+11 1.33389e+10
2.28485e+11 1.35554e+10
