x y
2.287e+11 1.79463e+07
2.287e+11 1.37946e+08
2.287e+11 2.57946e+08
2.28699e+11 3.77946e+08
2.28699e+11 4.97946e+08
2.28699e+11 6.17946e+08
2.28699e+11 7.37945e+08
2.28698e+11 8.57944e+08
2.28698e+11 9.77943e+08
2.28697e+11 1.09794e+09
2.28696e+11 1.21794e+09
2.28696e+11 1.33794e+09
2.28695e+11 1.45794e+09
2.28694e+11 1.57793e+09
2.28693e+11 1.69793e+09
2.28692e+11 1.81793e+09
2.28691e+11 1.93792e+09
2.2869e+11 2.05792e+09
2.28689e+11 2.17791e+09
2.28688e+11 2.29791e+09
2.28687e+11 2.4179e+09
2.28685e+11 2.53789e+09
2.28684e+11 2.65789e+09
2.28683e+11 2.77788e+09
2.28681e+11 2.89787e+09
2.2868e+11 3.01786e+09
2.28678e+11 3.13785e+09
2.28676e+11 3.25783e+09
2.28674e+11 3.37782e+09
2.28673e+11 3.49781e+09
2.28671e+11 3.61779e+09
2.28669e+11 3.73778e+09
2.28667e+11 3.85776e+09
2.28665e+11 3.97774e+09
2.28663e+11 4.09772e+09
2.2866e+11 4.2177e+09
2.28658e+11 4.33768e+09
2.28656e+11 4.45766e+09
2.28653e+11 4.57764e+09
2.28651e+11 4.69761e+09
2.28648e+11 4.81759e+09
2.28646e+11 4.93756e+09
2.28643e+11 5.05753e+09
2.2864e+11 5.1775e+09
2.28638e+11 5.29747e+09
2.28635e+11 5.41743e+09
2.28632e+11 5.5374e+09
2.28629e+11 5.65736e+09
2.28626e+11 5.77732e+09
2.28623e+11 5.89728e+09
2.2862e+11 6.01724e+09
2.28616e+11 6.1372e+09
2.28613e+11 6.25716e+09
2.2861e+11 6.37711e+09
2.28606e+11 6.49706e+09
2.28603e+11 6.61701e+09
2.28599e+11 6.73696e+09
2.28596e+11 6.85691e+09
2.28592e+11 6.97685e+09
2.28588e+11 7.09679e+09
2.28584e+11 7.21673e+09
2.28581e+11 7.33667e+09
2.28577e+11 7.45661e+09
2.28573e+11 7.57654e+09
2.28569e+11 7.69647e+09
2.28564e+11 7.8164e+09
2.2856e+11 7.93633e+09
2.28556e+11 8.05626e+09
2.28552e+11 8.17618e+09
2.28547e+11 8.2961e+09
2.28543e+11 8.41602e+09
2.28538e+11 8.53594e+09
2.28534e+11 8.65585e+09
2.28529e+11 8.77576e+09
2.28524e+11 8.89567e+09
2.2852e+11 9.01558e+09
2.28515e+11 9.13548e+09
2.2851e+11 9.25539e+09
2.28505e+11 9.37529e+09
2.285e+11 9.49518e+09
2.28495e+11 9.61508e+09
2.2849e+11 9.73497e+09
2.28485e+11 9.85486e+09
2.28479e+11 9.97474e+09
2.28474e+11 1.00946e+10
2.28469e+11 1.02145e+10
2.28463e+11 1.03344e+10
2.28458e+11 1.04543e+10
2.28452e+11 1.05741e+10
2.28446e+11 1.0694e+10
2.28441e+11 1.08139e+10
2.28435e+11 1.09337e+10
2.28429e+11 1.10536e+10
2.28423e+11 1.11734e+10
2.28417e+11 1.12933e+10
2.28411e+11 1.14131e+10
2.28405e+11 1.1533e+10
2.28399e+11 1.16528e+10
2.28393e+11 1.17727e+10
2.28386e+11 1.18925e+10
2.2838e+11 1.20123e+10
2.28374e+11 1.21322e+10
2.28367e+11 1.2252e+10
2.28361e+11 1.23718e+10
2.28354e+11 1.24916e+10
2.28347e+11 1.26115e+10
2.28341e+11 1.27313e+10
2.28334e+11 1.28511e+10
2.28327e+11 1.29709e+10
2.2832e+11 1.30907e+10
2.28313e+11 1.32105e+10
2.28306e+11 1.33303e+10
2.28299e+11 1.34501e+10
2.28292e+11 1.35699e+10
2.28284e+11 1.36897e+10
2.28277e+11 1.38094e+10
2.2827e+11 1.39292e+10
2.28262e+11 1.4049e+10
2.28255e+11 1.41688e+10
2.28247e+11 1.42885e+10
2.2824e+11 1.44083e+10
2.28232e+11 1.4528e+10
2.28224e+11 1.46478e+10
2.28216e+11 1.47675e+10
2.28209e+11 1.48873e+10
2.28201e+11 1.5007e+10
2.28193e+11 1.51268e+10
2.28184e+11 1.52465e+10
2.28176e+11 1.53662e+10
2.28168e+11 1.54859e+10
2.2816e+11 1.56057e+10
2.28152e+11 1.57254e+10
2.28143e+11 1.58451e+10
