x y
2.30355e+11 -7.48192e+07
2.30354e+11 1.41318e+08
2.30354e+11 3.57455e+08
2.30353e+11 5.73592e+08
2.30351e+11 7.89729e+08
2.3035e+11 1.00586e+09
2.30349e+11 1.222e+09
2.30347e+11 1.43813e+09
2.30345e+11 1.65427e+09
2.30343e+11 1.8704e+09
2.3034e+11 2.08653e+09
2.30338e+11 2.30265e+09
2.30335e+11 2.51878e+09
2.30332e+11 2.7349e+09
2.30329e+11 2.95102e+09
2.30325e+11 3.16714e+09
2.30322e+11 3.38326e+09
2.30318e+11 3.59937e+09
2.30314e+11 3.81548e+09
2.3031e+11 4.03158e+09
2.30305e+11 4.24769e+09
2.30301e+11 4.46379e+09
2.30296e+11 4.67988e+09
2.30291e+11 4.89597e+09
2.30285e+11 5.11206e+09
2.3028e+11 5.32814e+09
2.30274e+11 5.54422e+09
2.30269e+11 5.76029e+09
2.30263e+11 5.97635e+09
2.30256e+11 6.19242e+09
2.3025e+11 6.40847e+09
2.30243e+11 6.62452e+09
2.30236e+11 6.84057e+09
2.30229e+11 7.05661e+09
2.30222e+11 7.27264e+09
2.30214e+11 7.48866e+09
2.30207e+11 7.70468e+09
2.30199e+11 7.9207e+09
2.30191e+11 8.1367e+09
2.30183e+11 8.3527e+09
2.30174e+11 8.56869e+09
2.30165e+11 8.78467e+09
2.30156e+11 9.00065e+09
2.30147e+11 9.21662e+09
2.30138e+11 9.43258e+09
2.30129e+11 9.64853e+09
2.30119e+11 9.86447e+09
2.30109e+11 1.00804e+10
2.30099e+11 1.02963e+10
2.30089e+11 1.05122e+10
2.30078e+11 1.07282e+10
2.30067e+11 1.0944e+10
2.30056e+11 1.11599e+10
2.30045e+11 1.13758e+10
2.30034e+11 1.15917e+10
2.30022e+11 1.18075e+10
2.30011e+11 1.20234e+10
2.29999e+11 1.22392e+10
2.29986e+11 1.2455e+10
2.29974e+11 1.26709e+10
2.29962e+11 1.28867e+10
2.29949e+11 1.31025e+10
2.29936e+11 1.33182e+10
2.29923e+11 1.3534e+10
2.29909e+11 1.37498e+10
2.29896e+11 1.39655e+10
2.29882e+11 1.41812e+10
2.29868e+11 1.4397e+10
2.29854e+11 1.46127e+10
2.29839e+11 1.48284e+10
2.29825e+11 1.5044e+10
2.2981e+11 1.52597e+10
2.29795e+11 1.54754e+10
2.2978e+11 1.5691e+10
2.29764e+11 1.59066e+10
2.29749e+11 1.61222e+10
2.29733e+11 1.63378e+10
2.29717e+11 1.65534e+10
2.29701e+11 1.6769e+10
2.29684e+11 1.69845e+10
2.29668e+11 1.72001e+10
2.29651e+11 1.74156e+10
2.29634e+11 1.76311e+10
2.29617e+11 1.78466e+10
2.29599e+11 1.80621e+10
2.29581e+11 1.82775e+10
2.29564e+11 1.8493e+10
2.29546e+11 1.87084e+10
2.29527e+11 1.89238e+10
2.29509e+11 1.91392e+10
2.2949e+11 1.93546e+10
2.29471e+11 1.957e+10
2.29452e+11 1.97853e+10
2.29433e+11 2.00006e+10
2.29414e+11 2.02159e+10
2.29394e+11 2.04312e+10
2.29374e+11 2.06465e+10
2.29354e+11 2.08618e+10
2.29334e+11 2.1077e+10
2.29313e+11 2.12922e+10
2.29293e+11 2.15074e+10
2.29272e+11 2.17226e+10
2.29251e+11 2.19377e+10
2.29229e+11 2.21529e+10
2.29208e+11 2.2368e+10
2.29186e+11 2.25831e+10
2.29164e+11 2.27982e+10
2.29142e+11 2.30133e+10
2.2912e+11 2.32283e+10
2.29097e+11 2.34433e+10
2.29075e+11 2.36583e+10
2.29052e+11 2.38733e+10
2.29028e+11 2.40883e+10
2.29005e+11 2.43032e+10
2.28982e+11 2.45181e+10
2.28958e+11 2.4733e+10
2.28934e+11 2.49479e+10
2.2891e+11 2.51627e+10
2.28886e+11 2.53775e+10
2.28861e+11 2.55923e+10
2.28836e+11 2.58071e+10
2.28811e+11 2.60219e+10
2.28786e+11 2.62366e+10
2.28761e+11 2.64513e+10
2.28735e+11 2.6666e+10
2.2871e+11 2.68807e+10
2.28684e+11 2.70953e+10
2.28657e+11 2.73099e+10
2.28631e+11 2.75245e+10
2.28604e+11 2.77391e+10
2.28578e+11 2.79537e+10
2.28551e+11 2.81682e+10
2.28524e+11 2.83827e+10
2.28496e+11 2.85971e+10
2.28469e+11 2.88116e+10
2.28441e+11 2.9026e+10
2.28413e+11 2.92404e+10
2.28385e+11 2.94548e+10
2.28356e+11 2.96691e+10
2.28328e+11 2.98834e+10
2.28299e+11 3.00977e+10
2.2827e+11 3.0312e+10
2.28241e+11 3.05262e+10
2.28211e+11 3.07404e+10
2.28182e+11 3.09546e+10
2.28152e+11 3.11688e+10
2.28122e+11 3.13829e+10
2.28092e+11 3.1597e+10
2.28061e+11 3.18111e+10
2.28031e+11 3.20251e+10
2.28e+11 3.22391e+10
2.27969e+11 3.24531e+10
2.27938e+11 3.2667e+10
2.27906e+11 3.2881e+10
2.27875e+11 3.30949e+10
2.27843e+11 3.33087e+10
2.27811e+11 3.35226e+10
2.27779e+11 3.37364e+10
2.27746e+11 3.39502e+10
2.27714e+11 3.41639e+10
2.27681e+11 3.43776e+10
2.27648e+11 3.45913e+10
2.27615e+11 3.4805e+10
2.27581e+11 3.50186e+10
2.27548e+11 3.52322e+10
2.27514e+11 3.54458e+10
2.2748e+11 3.56593e+10
2.27446e+11 3.58728e+10
2.27411e+11 3.60863e+10
2.27376e+11 3.62997e+10
2.27342e+11 3.65131e+10
2.27307e+11 3.67265e+10
2.27271e+11 3.69399e+10
2.27236e+11 3.71532e+10
2.272e+11 3.73664e+10
2.27164e+11 3.75797e+10
2.27128e+11 3.77929e+10
2.27092e+11 3.80061e+10
2.27056e+11 3.82192e+10
2.27019e+11 3.84323e+10
2.26982e+11 3.86454e+10
2.26945e+11 3.88585e+10
2.26908e+11 3.90715e+10
2.26871e+11 3.92844e+10
2.26833e+11 3.94974e+10
2.26795e+11 3.97103e+10
2.26757e+11 3.99231e+10
2.26719e+11 4.0136e+10
2.2668e+11 4.03488e+10
2.26642e+11 4.05615e+10
2.26603e+11 4.07743e+10
2.26564e+11 4.09869e+10
2.26524e+11 4.11996e+10
2.26485e+11 4.14122e+10
2.26445e+11 4.16248e+10
2.26405e+11 4.18373e+10
2.26365e+11 4.20498e+10
2.26325e+11 4.22623e+10
2.26285e+11 4.24747e+10
2.26244e+11 4.26871e+10
2.26203e+11 4.28995e+10
2.26162e+11 4.31118e+10
2.26121e+11 4.33241e+10
2.26079e+11 4.35363e+10
2.26038e+11 4.37485e+10
2.25996e+11 4.39607e+10
2.25954e+11 4.41728e+10
2.25912e+11 4.43849e+10
2.25869e+11 4.45969e+10
2.25826e+11 4.4809e+10
2.25784e+11 4.50209e+10
2.25741e+11 4.52329e+10
2.25697e+11 4.54447e+10
2.25654e+11 4.56566e+10
2.2561e+11 4.58684e+10
2.25566e+11 4.60802e+10
2.25522e+11 4.62919e+10
2.25478e+11 4.65036e+10
2.25434e+11 4.67152e+10
2.25389e+11 4.69268e+10
2.25344e+11 4.71384e+10
2.25299e+11 4.73499e+10
2.25254e+11 4.75614e+10
2.25208e+11 4.77728e+10
2.25163e+11 4.79842e+10
2.25117e+11 4.81955e+10
2.25071e+11 4.84069e+10
2.25024e+11 4.86181e+10
2.24978e+11 4.88293e+10
2.24931e+11 4.90405e+10
2.24885e+11 4.92517e+10
2.24837e+11 4.94627e+10
2.2479e+11 4.96738e+10
2.24743e+11 4.98848e+10
2.24695e+11 5.00957e+10
2.24647e+11 5.03067e+10
2.24599e+11 5.05175e+10
2.24551e+11 5.07284e+10
2.24503e+11 5.09391e+10
2.24454e+11 5.11499e+10
2.24405e+11 5.13606e+10
2.24356e+11 5.15712e+10
2.24307e+11 5.17818e+10
2.24257e+11 5.19924e+10
2.24208e+11 5.22029e+10
2.24158e+11 5.24133e+10
2.24108e+11 5.26237e+10
2.24058e+11 5.28341e+10
2.24007e+11 5.30444e+10
2.23957e+11 5.32547e+10
2.23906e+11 5.34649e+10
2.23855e+11 5.36751e+10
2.23804e+11 5.38852e+10
2.23752e+11 5.40953e+10
2.237e+11 5.43054e+10
2.23649e+11 5.45153e+10
2.23597e+11 5.47253e+10
2.23544e+11 5.49352e+10
2.23492e+11 5.5145e+10
2.23439e+11 5.53548e+10
2.23387e+11 5.55646e+10
2.23334e+11 5.57743e+10
2.2328e+11 5.59839e+10
2.23227e+11 5.61935e+10
2.23173e+11 5.6403e+10
2.2312e+11 5.66125e+10
2.23066e+11 5.6822e+10
2.23011e+11 5.70314e+10
2.22957e+11 5.72407e+10
2.22902e+11 5.745e+10
2.22848e+11 5.76593e+10
2.22793e+11 5.78685e+10
2.22738e+11 5.80776e+10
2.22682e+11 5.82867e+10
2.22627e+11 5.84957e+10
2.22571e+11 5.87047e+10
2.22515e+11 5.89137e+10
2.22459e+11 5.91225e+10
2.22402e+11 5.93314e+10
2.22346e+11 5.95401e+10
2.22289e+11 5.97489e+10
2.22232e+11 5.99575e+10
2.22175e+11 6.01662e+10
2.22118e+11 6.03747e+10
2.2206e+11 6.05832e+10
2.22002e+11 6.07917e+10
2.21944e+11 6.10001e+10
2.21886e+11 6.12084e+10
2.21828e+11 6.14167e+10
2.21769e+11 6.1625e+10
2.21711e+11 6.18332e+10
2.21652e+11 6.20413e+10
2.21593e+11 6.22494e+10
2.21533e+11 6.24574e+10
2.21474e+11 6.26654e+10
2.21414e+11 6.28733e+10
2.21354e+11 6.30811e+10
2.21294e+11 6.32889e+10
2.21234e+11 6.34967e+10
2.21173e+11 6.37044e+10
2.21113e+11 6.3912e+10
2.21052e+11 6.41196e+10
2.20991e+11 6.43271e+10
2.20929e+11 6.45345e+10
2.20868e+11 6.4742e+10
2.20806e+11 6.49493e+10
2.20744e+11 6.51566e+10
2.20682e+11 6.53638e+10
2.2062e+11 6.5571e+10
2.20558e+11 6.57781e+10
2.20495e+11 6.59852e+10
2.20432e+11 6.61922e+10
2.20369e+11 6.63991e+10
2.20306e+11 6.6606e+10
2.20242e+11 6.68128e+10
2.20179e+11 6.70196e+10
2.20115e+11 6.72263e+10
2.20051e+11 6.74329e+10
2.19987e+11 6.76395e+10
2.19922e+11 6.7846e+10
2.19858e+11 6.80525e+10
2.19793e+11 6.82589e+10
2.19728e+11 6.84652e+10
2.19663e+11 6.86715e+10
2.19598e+11 6.88777e+10
2.19532e+11 6.90839e+10
2.19466e+11 6.929e+10
2.194e+11 6.9496e+10
2.19334e+11 6.9702e+10
2.19268e+11 6.99079e+10
2.19201e+11 7.01138e+10
2.19134e+11 7.03195e+10
2.19068e+11 7.05253e+10
2.19e+11 7.07309e+10
2.18933e+11 7.09365e+10
2.18866e+11 7.11421e+10
2.18798e+11 7.13476e+10
2.1873e+11 7.1553e+10
2.18662e+11 7.17583e+10
2.18594e+11 7.19636e+10
2.18525e+11 7.21688e+10
2.18456e+11 7.2374e+10
2.18388e+11 7.25791e+10
2.18319e+11 7.27841e+10
2.18249e+11 7.29891e+10
2.1818e+11 7.3194e+10
2.1811e+11 7.33988e+10
2.1804e+11 7.36036e+10
2.1797e+11 7.38083e+10
2.179e+11 7.40129e+10
2.1783e+11 7.42175e+10
2.17759e+11 7.4422e+10
2.17688e+11 7.46264e+10
2.17617e+11 7.48308e+10
2.17546e+11 7.50351e+10
2.17475e+11 7.52394e+10
2.17403e+11 7.54435e+10
2.17331e+11 7.56477e+10
2.17259e+11 7.58517e+10
2.17187e+11 7.60557e+10
2.17115e+11 7.62596e+10
2.17042e+11 7.64634e+10
2.1697e+11 7.66672e+10
2.16897e+11 7.68709e+10
