Поток 10 | Угол: 4.00° | Минимальное топливо: 2.06
Поток 1 | Угол: 6.00° | Минимальное топливо: 2.07
Поток 8 | Угол: 0.00° | Минимальное топливо: 2.11
Поток 7 | Угол: 22.00° | Минимальное топливо: 2.15
Поток 10 | Угол: 24.00° | Минимальное топливо: 2.16
Поток 0 | Угол: 10.00° | Минимальное топливо: 2.22
Поток 3 | Угол: 16.00° | Минимальное топливо: 2.28
Поток 11 | Угол: 12.00° | Минимальное топливо: 2.24
Поток 4 | Угол: 18.00° | Минимальное топливо: 2.30
Поток 6 | Угол: 14.00° | Минимальное топливо: 2.26
Поток 5 | Угол: 20.00° | Минимальное топливо: 2.32
Поток 2 | Угол: 8.00° | Минимальное топливо: 2.31
Поток 4 | Угол: 40.00° | Минимальное топливо: 2.31
Поток 10 | Угол: 32.00° | Минимальное топливо: 2.43
Поток 6 | Угол: 42.00° | Минимальное топливо: 2.30
Поток 11 | Угол: 38.00° | Минимальное топливо: 2.39
Поток 2 | Угол: 46.00° | Минимальное топливо: 2.28
Поток 5 | Угол: 44.00° | Минимальное топливо: 2.53
Поток 4 | Угол: 48.00° | Минимальное топливо: 2.42
Поток 4 | Угол: 60.00° | Минимальное топливо: 2.35
Поток 10 | Угол: 50.00° | Минимальное топливо: 3.02
Поток 5 | Угол: 58.00° | Минимальное топливо: 2.73
Поток 11 | Угол: 54.00° | Минимальное топливо: 3.03
Поток 6 | Угол: 52.00° | Минимальное топливо: 3.33
Поток 10 | Угол: 64.00° | Минимальное топливо: 2.68
Поток 2 | Угол: 56.00° | Минимальное топливо: 3.28
Поток 10 | Угол: 72.00° | Минимальное топливо: 2.24
Поток 6 | Угол: 70.00° | Минимальное топливо: 2.42
Поток 4 | Угол: 62.00° | Минимальное топливо: 3.29
Поток 3 | Угол: 36.00° | Минимальное топливо: 4.42
Поток 11 | Угол: 68.00° | Минимальное топливо: 3.30
Поток 1 | Угол: 26.00° | Минимальное топливо: 4.40
Поток 4 | Угол: 80.00° | Минимальное топливо: 3.10
Поток 1 | Угол: 86.00° | Минимальное топливо: 2.52
Поток 11 | Угол: 84.00° | Минимальное топливо: 2.81
Поток 11 | Угол: 92.00° | Минимальное топливо: 2.46
Поток 6 | Угол: 78.00° | Минимальное топливо: 3.94
Поток 1 | Угол: 90.00° | Минимальное топливо: 2.53
Поток 11 | Угол: 94.00° | Минимальное топливо: 2.54
Поток 11 | Угол: 100.00° | Минимальное топливо: 2.43
Поток 1 | Угол: 98.00° | Минимальное топливо: 2.99
Поток 4 | Угол: 120.00° | Минимальное топливо: 2.50
Поток 9 | Угол: 129.00° | Минимальное топливо: 2.62
Поток 3 | Угол: 114.00° | Минимальное топливо: 2.98
Поток 9 | Угол: 141.00° | Минимальное топливо: 3.12
Поток 8 | Угол: 123.00° | Минимальное топливо: 3.41
Поток 7 | Угол: 110.00° | Минимальное топливо: 2.51
Поток 7 | Угол: 118.00° | Минимальное топливо: 2.54
Поток 2 | Угол: 112.00° | Минимальное топливо: 3.91
Поток 5 | Угол: 106.00° | Минимальное топливо: 4.07
Поток 6 | Угол: 108.00° | Минимальное топливо: 4.08
Поток 3 | Угол: 124.00° | Минимальное топливо: 2.49
Поток 1 | Угол: 134.00° | Минимальное топливо: 2.63
Поток 2 | Угол: 126.00° | Минимальное топливо: 4.90
Поток 1 | Угол: 140.00° | Минимальное топливо: 3.45
Поток 3 | Угол: 152.00° | Минимальное топливо: 3.53
Поток 2 | Угол: 144.00° | Минимальное топливо: 4.27
Поток 6 | Угол: 148.00° | Минимальное топливо: 4.46
Поток 0 | Угол: 156.00° | Минимальное топливо: 3.02
Поток 7 | Угол: 162.00° | Минимальное топливо: 3.55
Поток 0 | Угол: 166.00° | Минимальное топливо: 3.25
Поток 6 | Угол: 164.00° | Минимальное топливо: 3.51
Поток 7 | Угол: 172.00° | Минимальное топливо: 3.14
Поток 3 | Угол: 180.00° | Минимальное топливо: 3.33
Поток 0 | Угол: 174.00° | Минимальное топливо: 4.39
Поток 1 | Угол: 188.00° | Минимальное топливо: 3.38
Поток 0 | Угол: 192.00° | Минимальное топливо: 3.62
Поток 3 | Угол: 190.00° | Минимальное топливо: 4.45
Поток 0 | Угол: 200.00° | Минимальное топливо: 3.46
Поток 3 | Угол: 206.00° | Минимальное топливо: 3.71
Поток 5 | Угол: 208.00° | Минимальное топливо: 3.54
Поток 6 | Угол: 212.00° | Минимальное топливо: 3.68
Поток 1 | Угол: 218.00° | Минимальное топливо: 3.70
Поток 4 | Угол: 250.00° | Минимальное топливо: 3.07
