Angle,MT
0,5498
1,5502
2,5505
3,5508
4,5512
5,5515
6,5518
7,5522
8,5525
9,5528
10,5532
11,5535
12,5538
13,5542
14,5545
15,5548
16,5551
17,5555
18,5558
19,5561
20,5564
21,5567
22,5571
23,5574
24,5577
25,5580
26,5583
27,5587
28,5590
29,5593
30,5596
31,5599
32,5602
33,5605
34,5608
35,5611
36,5614
37,5617
38,5620
39,5623
40,5626
41,5629
42,5632
43,5635
44,5638
45,5641
46,5644
47,5647
48,5650
49,5653
50,5656
51,5659
52,5661
53,5664
54,5667
55,5670
56,5673
57,5676
58,5678
59,5681
60,5684
61,5687
62,5689
63,5692
64,5695
65,5698
66,5700
67,5703
68,5706
69,5708
70,5711
71,5714
72,5716
73,5719
75,5724
76,5727
77,5729
78,5732
79,5734
80,5737
82,5742
84,5747
85,5749.5
87,5754.5
89,5759.0
91,5764.0
93,5769.0
95,5774.0
97,5778.5
99,5450.0
101,5457.5
103,5465.5
105,5473.5
107,5481.0
109,5489.0
111,5496.5
113,5503.5
115,5511.0
117,5518.0
119,5525.0
121,5532.0
123,5538.5
