Angle,MT
68.0,5243.300000000008
68.25,5242.650000000006
68.5,5242.250000000005
68.75,5241.9500000000035
69.0,5241.750000000003
69.25,5241.650000000003
69.3,5241.640000000003
69.35,5241.630000000003
69.39999999999999,5241.620000000003
69.44999999999999,5241.620000000003
69.49999999999999,5241.620000000003
69.54999999999998,5241.620000000003
69.59999999999998,5241.620000000003
69.64999999999998,5241.630000000003
69.69999999999997,5241.630000000003
69.74999999999997,5241.640000000003
70.0,5241.750000000003
70.25,5241.850000000003
70.5,5242.000000000004
70.75,5242.200000000004
